TARİH,SAAT,Saatlik Yağış
10/31/2017,12:00:00 AM,0.000
10/31/2017,1:00:00 AM,0.000
10/31/2017,2:00:00 AM,0.000
10/31/2017,3:00:00 AM,0.000
10/31/2017,4:00:00 AM,0.000
10/31/2017,5:00:00 AM,0.000
10/31/2017,6:00:00 AM,0.000
10/31/2017,7:00:00 AM,0.000
10/31/2017,8:00:00 AM,0.000
10/31/2017,9:00:00 AM,0.000
10/31/2017,10:00:00 AM,0.000
10/31/2017,11:00:00 AM,0.000
10/31/2017,12:00:00 PM,0.000
10/31/2017,1:00:00 PM,0.000
10/31/2017,2:00:00 PM,0.000
10/31/2017,3:00:00 PM,0.000
10/31/2017,4:00:00 PM,0.000
10/31/2017,5:00:00 PM,0.000
10/31/2017,6:00:00 PM,0.000
10/31/2017,7:00:00 PM,0.000
10/31/2017,8:00:00 PM,0.000
10/31/2017,9:00:00 PM,0.000
10/31/2017,10:00:00 PM,0.000
10/31/2017,11:00:00 PM,0.000
11/1/2017,12:00:00 AM,0.000
11/1/2017,1:00:00 AM,0.000
11/1/2017,2:00:00 AM,0.000
11/1/2017,3:00:00 AM,0.000
11/1/2017,4:00:00 AM,0.000
11/1/2017,5:00:00 AM,0.000
11/1/2017,6:00:00 AM,0.000
11/1/2017,7:00:00 AM,0.000
11/1/2017,8:00:00 AM,0.000
11/1/2017,9:00:00 AM,0.000
11/1/2017,10:00:00 AM,0.000
11/1/2017,11:00:00 AM,0.000
11/1/2017,12:00:00 PM,0.000
11/1/2017,1:00:00 PM,0.000
11/1/2017,2:00:00 PM,0.000
11/1/2017,3:00:00 PM,0.000
11/1/2017,4:00:00 PM,0.000
11/1/2017,5:00:00 PM,0.000
11/1/2017,6:00:00 PM,0.000
11/1/2017,7:00:00 PM,0.000
11/1/2017,8:00:00 PM,0.000
11/1/2017,9:00:00 PM,0.000
11/1/2017,10:00:00 PM,0.000
11/1/2017,11:00:00 PM,0.000
11/2/2017,12:00:00 AM,0.000
11/2/2017,1:00:00 AM,0.000
11/2/2017,2:00:00 AM,0.000
11/2/2017,3:00:00 AM,0.000
11/2/2017,4:00:00 AM,0.000
11/2/2017,5:00:00 AM,0.000
11/2/2017,6:00:00 AM,0.000
11/2/2017,7:00:00 AM,0.000
11/2/2017,8:00:00 AM,0.000
11/2/2017,9:00:00 AM,0.000
11/2/2017,10:00:00 AM,0.000
11/2/2017,11:00:00 AM,0.000
11/2/2017,12:00:00 PM,0.000
11/2/2017,1:00:00 PM,0.000
11/2/2017,2:00:00 PM,0.000
11/2/2017,3:00:00 PM,0.000
11/2/2017,4:00:00 PM,0.000
11/2/2017,5:00:00 PM,0.000
11/2/2017,6:00:00 PM,0.000
11/2/2017,7:00:00 PM,0.000
11/2/2017,8:00:00 PM,0.000
11/2/2017,9:00:00 PM,0.000
11/2/2017,10:00:00 PM,0.000
11/2/2017,11:00:00 PM,0.000
11/3/2017,12:00:00 AM,0.000
11/3/2017,1:00:00 AM,0.000
11/3/2017,2:00:00 AM,0.000
11/3/2017,3:00:00 AM,0.000
11/3/2017,4:00:00 AM,0.000
11/3/2017,5:00:00 AM,0.000
11/3/2017,6:00:00 AM,0.000
11/3/2017,7:00:00 AM,0.000
11/3/2017,8:00:00 AM,0.000
11/3/2017,9:00:00 AM,0.000
11/3/2017,10:00:00 AM,0.000
11/3/2017,11:00:00 AM,0.000
11/3/2017,12:00:00 PM,0.000
11/3/2017,1:00:00 PM,0.000
11/3/2017,2:00:00 PM,0.000
11/3/2017,3:00:00 PM,0.000
11/3/2017,4:00:00 PM,0.000
11/3/2017,5:00:00 PM,0.000
11/3/2017,6:00:00 PM,0.000
11/3/2017,7:00:00 PM,0.000
11/3/2017,8:00:00 PM,0.000
11/3/2017,9:00:00 PM,0.000
11/3/2017,10:00:00 PM,0.000
11/3/2017,11:00:00 PM,0.000
11/4/2017,12:00:00 AM,0.000
11/4/2017,1:00:00 AM,0.000
11/4/2017,2:00:00 AM,0.000
11/4/2017,3:00:00 AM,0.000
11/4/2017,4:00:00 AM,0.000
11/4/2017,5:00:00 AM,0.000
11/4/2017,6:00:00 AM,0.000
11/4/2017,7:00:00 AM,0.000
11/4/2017,8:00:00 AM,0.000
11/4/2017,9:00:00 AM,0.000
11/4/2017,10:00:00 AM,0.000
11/4/2017,11:00:00 AM,0.000
11/4/2017,12:00:00 PM,0.000
11/4/2017,1:00:00 PM,0.000
11/4/2017,2:00:00 PM,1.016
11/4/2017,3:00:00 PM,0.000
11/4/2017,4:00:00 PM,0.000
11/4/2017,5:00:00 PM,0.000
11/4/2017,6:00:00 PM,0.000
11/4/2017,7:00:00 PM,0.000
11/4/2017,8:00:00 PM,0.000
11/4/2017,9:00:00 PM,0.000
11/4/2017,10:00:00 PM,0.000
11/4/2017,11:00:00 PM,0.000
11/5/2017,12:00:00 AM,0.000
11/5/2017,1:00:00 AM,0.000
11/5/2017,2:00:00 AM,0.000
11/5/2017,3:00:00 AM,0.000
11/5/2017,4:00:00 AM,0.000
11/5/2017,5:00:00 AM,0.000
11/5/2017,6:00:00 AM,0.000
11/5/2017,7:00:00 AM,0.000
11/5/2017,8:00:00 AM,0.000
11/5/2017,9:00:00 AM,0.000
11/5/2017,10:00:00 AM,0.000
11/5/2017,11:00:00 AM,0.000
11/5/2017,12:00:00 PM,0.000
11/5/2017,1:00:00 PM,0.000
11/5/2017,2:00:00 PM,0.000
11/5/2017,3:00:00 PM,0.000
11/5/2017,4:00:00 PM,0.000
11/5/2017,5:00:00 PM,0.000
11/5/2017,6:00:00 PM,0.000
11/5/2017,7:00:00 PM,0.000
11/5/2017,8:00:00 PM,0.000
11/5/2017,9:00:00 PM,0.000
11/5/2017,10:00:00 PM,0.000
11/5/2017,11:00:00 PM,0.000
11/6/2017,12:00:00 AM,0.000
11/6/2017,1:00:00 AM,0.000
11/6/2017,2:00:00 AM,0.000
11/6/2017,3:00:00 AM,0.000
11/6/2017,4:00:00 AM,0.000
11/6/2017,5:00:00 AM,0.000
11/6/2017,6:00:00 AM,0.000
11/6/2017,7:00:00 AM,0.000
11/6/2017,8:00:00 AM,0.000
11/6/2017,9:00:00 AM,0.000
11/6/2017,10:00:00 AM,0.000
11/6/2017,11:00:00 AM,0.000
11/6/2017,12:00:00 PM,0.000
11/6/2017,1:00:00 PM,0.000
11/6/2017,2:00:00 PM,0.000
11/6/2017,3:00:00 PM,0.000
11/6/2017,4:00:00 PM,0.000
11/6/2017,5:00:00 PM,0.000
11/6/2017,6:00:00 PM,0.000
11/6/2017,7:00:00 PM,0.000
11/6/2017,8:00:00 PM,0.000
11/6/2017,9:00:00 PM,0.000
11/6/2017,10:00:00 PM,0.000
11/6/2017,11:00:00 PM,0.000
11/7/2017,12:00:00 AM,0.000
11/7/2017,1:00:00 AM,0.000
11/7/2017,2:00:00 AM,0.000
11/7/2017,3:00:00 AM,0.000
11/7/2017,4:00:00 AM,0.000
11/7/2017,5:00:00 AM,0.000
11/7/2017,6:00:00 AM,0.000
11/7/2017,7:00:00 AM,0.000
11/7/2017,8:00:00 AM,0.000
11/7/2017,9:00:00 AM,0.000
11/7/2017,10:00:00 AM,0.000
11/7/2017,11:00:00 AM,0.000
11/7/2017,12:00:00 PM,0.000
11/7/2017,1:00:00 PM,0.000
11/7/2017,2:00:00 PM,0.000
11/7/2017,3:00:00 PM,0.000
11/7/2017,4:00:00 PM,0.000
11/7/2017,5:00:00 PM,0.000
11/7/2017,6:00:00 PM,0.000
11/7/2017,7:00:00 PM,0.000
11/7/2017,8:00:00 PM,0.000
11/7/2017,9:00:00 PM,0.000
11/7/2017,10:00:00 PM,0.000
11/7/2017,11:00:00 PM,0.000
11/8/2017,12:00:00 AM,0.000
11/8/2017,1:00:00 AM,0.000
11/8/2017,2:00:00 AM,0.000
11/8/2017,3:00:00 AM,0.000
11/8/2017,4:00:00 AM,0.000
11/8/2017,5:00:00 AM,0.000
11/8/2017,6:00:00 AM,0.000
11/8/2017,7:00:00 AM,0.000
11/8/2017,8:00:00 AM,0.000
11/8/2017,9:00:00 AM,0.000
11/8/2017,10:00:00 AM,0.000
11/8/2017,11:00:00 AM,0.000
11/8/2017,12:00:00 PM,0.000
11/8/2017,1:00:00 PM,0.000
11/8/2017,2:00:00 PM,0.000
11/8/2017,3:00:00 PM,0.000
11/8/2017,4:00:00 PM,0.000
11/8/2017,5:00:00 PM,0.000
11/8/2017,6:00:00 PM,0.000
11/8/2017,7:00:00 PM,0.000
11/8/2017,8:00:00 PM,0.000
11/8/2017,9:00:00 PM,0.000
11/8/2017,10:00:00 PM,0.000
11/8/2017,11:00:00 PM,0.000
11/9/2017,12:00:00 AM,0.000
11/9/2017,1:00:00 AM,0.000
11/9/2017,2:00:00 AM,0.000
11/9/2017,3:00:00 AM,0.000
11/9/2017,4:00:00 AM,0.000
11/9/2017,5:00:00 AM,0.000
11/9/2017,6:00:00 AM,0.000
11/9/2017,7:00:00 AM,0.000
11/9/2017,8:00:00 AM,0.000
11/9/2017,9:00:00 AM,0.000
11/9/2017,10:00:00 AM,0.000
11/9/2017,11:00:00 AM,0.000
11/9/2017,12:00:00 PM,0.000
11/9/2017,1:00:00 PM,0.000
11/9/2017,2:00:00 PM,0.000
