
C:\DSIDATA\011-001-00031-201604260858-OEL-104-A-D.txt
Versiyon................  
Limnigraf Tipi..........  Optik Kodlu
Bölge...................  11
Havza...................  1
Istasyon................  31
Kurulum Tarihi ve Saati.  26/04/2016  08:58
Ilk Kayit Tarihi\Saati..  26/04/2016  09:30
Son Kayit Tarihi\Saati..  10/04/2019  12:00
Okuma Sayisi............  2
Okuma Araliği (Dakika)... 15
Kayit Araliği (Dakika)... 30
                                   
  TARIH     SAAT     SEVİYE(m)
26.04.2016  09:30     1.09
26.04.2016  10:00     1.09
26.04.2016  10:30     1.09
26.04.2016  11:00     1.09
26.04.2016  11:30     1.09
26.04.2016  12:00     1.10
26.04.2016  12:30     1.10
26.04.2016  13:00     1.09
26.04.2016  13:30     1.09
26.04.2016  14:00     1.09
26.04.2016  14:30     1.26
26.04.2016  15:00     1.29
26.04.2016  15:30     1.30
26.04.2016  16:00     1.29
26.04.2016  16:30     1.29
26.04.2016  17:00     1.29
26.04.2016  17:30     1.28
26.04.2016  18:00     1.28
26.04.2016  18:30     1.28
26.04.2016  19:00     1.28
26.04.2016  19:30     1.28
26.04.2016  20:00     1.28
26.04.2016  20:30     1.28
26.04.2016  21:00     1.28
26.04.2016  21:30     1.28
26.04.2016  22:00     1.27
26.04.2016  22:30     1.27
26.04.2016  23:00     1.27
26.04.2016  23:30     1.27
26.04.2016  00:00     1.27
         
Max 26.04.2016 14:10  1.35
Min 26.04.2016 14:01  1.07
         
27.04.2016  00:30     1.27
27.04.2016  01:00     1.27
27.04.2016  01:30     1.26
27.04.2016  02:00     1.26
27.04.2016  02:30     1.26
27.04.2016  03:00     1.26
27.04.2016  03:30     1.26
27.04.2016  04:00     1.26
27.04.2016  04:30     1.26
27.04.2016  05:00     1.26
27.04.2016  05:30     1.26
27.04.2016  06:00     1.26
27.04.2016  06:30     1.26
27.04.2016  07:00     1.26
27.04.2016  07:30     1.26
27.04.2016  08:00     1.26
27.04.2016  08:30     1.26
27.04.2016  09:00     1.26
27.04.2016  09:30     1.26
27.04.2016  10:00     1.26
27.04.2016  10:30     1.25
27.04.2016  11:00     1.26
27.04.2016  11:30     1.25
27.04.2016  12:00     1.25
27.04.2016  12:30     1.25
27.04.2016  13:00     1.25
27.04.2016  13:30     1.25
27.04.2016  14:00     1.25
27.04.2016  14:30     1.25
27.04.2016  15:00     1.25
27.04.2016  15:30     1.25
27.04.2016  16:00     1.25
27.04.2016  16:30     1.25
27.04.2016  17:00     1.25
27.04.2016  17:30     1.25
27.04.2016  18:00     1.25
27.04.2016  18:30     1.25
27.04.2016  19:00     1.25
27.04.2016  19:30     1.25
27.04.2016  20:00     1.25
27.04.2016  20:30     1.25
27.04.2016  21:00     1.25
27.04.2016  21:30     1.25
27.04.2016  22:00     1.25
27.04.2016  22:30     1.25
27.04.2016  23:00     1.25
27.04.2016  23:30     1.25
27.04.2016  00:00     1.25
         
Max 27.04.2016 02:28  1.27
Min 27.04.2016 23:57  1.25
         
28.04.2016  00:30     1.25
28.04.2016  01:00     1.25
28.04.2016  01:30     1.25
28.04.2016  02:00     1.25
28.04.2016  02:30     1.25
28.04.2016  03:00     1.25
28.04.2016  03:30     1.25
28.04.2016  04:00     1.25
28.04.2016  04:30     1.25
28.04.2016  05:00     1.25
28.04.2016  05:30     1.25
28.04.2016  06:00     1.25
28.04.2016  06:30     1.25
28.04.2016  07:00     1.25
28.04.2016  07:30     1.25
28.04.2016  08:00     1.25
28.04.2016  08:30     1.25
28.04.2016  09:00     1.25
28.04.2016  09:30     1.25
28.04.2016  10:00     1.25
28.04.2016  10:30     1.25
28.04.2016  11:00     1.25
28.04.2016  11:30     1.25
28.04.2016  12:00     1.25
28.04.2016  12:30     1.25
28.04.2016  13:00     1.25
28.04.2016  13:30     1.25
28.04.2016  14:00     1.25
28.04.2016  14:30     1.25
28.04.2016  15:00     1.25
28.04.2016  15:30     1.25
28.04.2016  16:00     1.25
28.04.2016  16:30     1.25
28.04.2016  17:00     1.25
28.04.2016  17:30     1.25
28.04.2016  18:00     1.25
28.04.2016  18:30     1.25
28.04.2016  19:00     1.25
28.04.2016  19:30     1.25
28.04.2016  20:00     1.25
28.04.2016  20:30     1.25
28.04.2016  21:00     1.25
28.04.2016  21:30     1.25
28.04.2016  22:00     1.25
28.04.2016  22:30     1.25
28.04.2016  23:00     1.25
28.04.2016  23:30     1.25
28.04.2016  00:00     1.25
         
Max 28.04.2016 18:17  1.25
Min 28.04.2016 18:17  1.25
         
29.04.2016  00:30     1.25
29.04.2016  01:00     1.25
29.04.2016  01:30     1.25
29.04.2016  02:00     1.25
29.04.2016  02:30     1.25
29.04.2016  03:00     1.25
29.04.2016  03:30     1.25
29.04.2016  04:00     1.25
29.04.2016  04:30     1.25
29.04.2016  05:00     1.25
29.04.2016  05:30     1.25
29.04.2016  06:00     1.25
29.04.2016  06:30     1.25
29.04.2016  07:00     1.25
29.04.2016  07:30     1.25
29.04.2016  08:00     1.25
29.04.2016  08:30     1.25
29.04.2016  09:00     1.25
29.04.2016  09:30     1.25
29.04.2016  10:00     1.25
29.04.2016  10:30     1.25
29.04.2016  11:00     1.25
29.04.2016  11:30     1.25
29.04.2016  12:00     1.25
29.04.2016  12:30     1.25
29.04.2016  13:00     1.25
29.04.2016  13:30     1.25
29.04.2016  14:00     1.25
29.04.2016  14:30     1.25
29.04.2016  15:00     1.25
29.04.2016  15:30     1.25
29.04.2016  16:00     1.25
29.04.2016  16:30     1.25
29.04.2016  17:00     1.24
29.04.2016  17:30     1.24
29.04.2016  18:00     1.24
29.04.2016  18:30     1.24
29.04.2016  19:00     1.24
29.04.2016  19:30     1.24
29.04.2016  20:00     1.24
29.04.2016  20:30     1.24
29.04.2016  21:00     1.24
29.04.2016  21:30     1.24
29.04.2016  22:00     1.24
29.04.2016  22:30     1.24
29.04.2016  23:00     1.24
29.04.2016  23:30     1.24
29.04.2016  00:00     1.24
         
Max 29.04.2016 22:24  1.25
Min 29.04.2016 23:56  1.24
         
30.04.2016  00:30     1.24
30.04.2016  01:00     1.24
30.04.2016  01:30     1.24
30.04.2016  02:00     1.24
30.04.2016  02:30     1.24
30.04.2016  03:00     1.24
30.04.2016  03:30     1.24
30.04.2016  04:00     1.24
30.04.2016  04:30     1.24
30.04.2016  05:00     1.24
30.04.2016  05:30     1.24
30.04.2016  06:00     1.25
30.04.2016  06:30     1.25
30.04.2016  07:00     1.25
30.04.2016  07:30     1.25
30.04.2016  08:00     1.25
30.04.2016  08:30     1.25
30.04.2016  09:00     1.25
30.04.2016  09:30     1.25
30.04.2016  10:00     1.25
30.04.2016  10:30     1.25
30.04.2016  11:00     1.24
30.04.2016  11:30     1.25
30.04.2016  12:00     1.24
30.04.2016  12:30     1.24
30.04.2016  13:00     1.24
30.04.2016  13:30     1.24
30.04.2016  14:00     1.24
30.04.2016  14:30     1.24
