
C:\DSIDATA\011-001-00033-201710311138-OEL-104-A-D.txt
Versiyon................  
Limnigraf Tipi..........  Optik Kodlu
Bölge...................  11
Havza...................  1
Istasyon................  33
Kurulum Tarihi ve Saati.  31/10/2017  11:38
Ilk Kayit Tarihi\Saati..  31/10/2017  12:30
Son Kayit Tarihi\Saati..  30/04/2019  18:31
Okuma Sayisi............  3
Okuma Araliği (Dakika)... 10
Kayit Araliği (Dakika)... 30
                                   
  TARIH     SAAT     SEVİYE(m)
31.10.2017  12:30     1.18
31.10.2017  13:00     1.18
31.10.2017  13:30     1.18
31.10.2017  14:00     1.18
31.10.2017  14:30     1.18
31.10.2017  15:00     1.18
31.10.2017  15:30     1.18
31.10.2017  16:00     1.18
31.10.2017  16:30     1.18
31.10.2017  17:00     1.18
31.10.2017  17:30     1.18
31.10.2017  18:00     1.18
31.10.2017  18:30     1.18
31.10.2017  19:00     1.18
31.10.2017  19:30     1.18
31.10.2017  20:00     1.18
31.10.2017  20:30     1.18
31.10.2017  21:00     1.18
31.10.2017  21:30     1.18
31.10.2017  22:00     1.18
31.10.2017  22:30     1.18
31.10.2017  23:00     1.18
31.10.2017  23:30     1.18
31.10.2017  00:00     1.18
         
Max 31.10.2017 17:40  1.18
Min 31.10.2017 17:40  1.18
         
01.11.2017  00:30     1.18
01.11.2017  01:00     1.18
01.11.2017  01:30     1.18
01.11.2017  02:00     1.18
01.11.2017  02:30     1.18
01.11.2017  03:00     1.18
01.11.2017  03:30     1.18
01.11.2017  04:00     1.18
01.11.2017  04:30     1.18
01.11.2017  05:00     1.18
01.11.2017  05:30     1.18
01.11.2017  06:00     1.18
01.11.2017  06:30     1.18
01.11.2017  07:00     1.18
01.11.2017  07:30     1.18
01.11.2017  08:00     1.18
01.11.2017  08:30     1.18
01.11.2017  09:00     1.18
01.11.2017  09:30     1.18
01.11.2017  10:00     1.18
01.11.2017  10:30     1.18
01.11.2017  11:00     1.18
01.11.2017  11:30     1.18
01.11.2017  12:00     1.18
01.11.2017  12:30     1.18
01.11.2017  13:00     1.18
01.11.2017  13:30     1.18
01.11.2017  14:00     1.18
01.11.2017  14:30     1.18
01.11.2017  15:00     1.18
01.11.2017  15:30     1.18
01.11.2017  16:00     1.18
01.11.2017  16:30     1.18
01.11.2017  17:00     1.18
01.11.2017  17:30     1.18
01.11.2017  18:00     1.23
01.11.2017  18:30     1.27
01.11.2017  19:00     1.27
01.11.2017  19:30     1.27
01.11.2017  20:00     1.27
01.11.2017  20:30     1.27
01.11.2017  21:00     1.27
01.11.2017  21:30     1.27
01.11.2017  22:00     1.27
01.11.2017  22:30     1.27
01.11.2017  23:00     1.27
01.11.2017  23:30     1.27
01.11.2017  00:00     1.27
         
Max 01.11.2017 23:59  1.27
Min 01.11.2017 14:45  1.18
         
02.11.2017  00:30     1.27
02.11.2017  01:00     1.27
02.11.2017  01:30     1.27
02.11.2017  02:00     1.27
02.11.2017  02:30     1.27
02.11.2017  03:00     1.27
02.11.2017  03:30     1.27
02.11.2017  04:00     1.27
02.11.2017  04:30     1.27
02.11.2017  05:00     1.27
02.11.2017  05:30     1.27
02.11.2017  06:00     1.27
02.11.2017  06:30     1.27
02.11.2017  07:00     1.27
02.11.2017  07:30     1.27
02.11.2017  08:00     1.27
02.11.2017  08:30     1.27
02.11.2017  09:00     1.27
02.11.2017  09:30     1.27
02.11.2017  10:00     1.27
02.11.2017  10:30     1.27
02.11.2017  11:00     1.27
02.11.2017  11:30     1.27
02.11.2017  12:00     1.27
02.11.2017  12:30     1.27
02.11.2017  13:00     1.27
02.11.2017  13:30     1.27
02.11.2017  14:00     1.27
02.11.2017  14:30     1.27
02.11.2017  15:00     1.27
02.11.2017  15:30     1.27
02.11.2017  16:00     1.27
02.11.2017  16:30     1.27
02.11.2017  17:00     1.27
02.11.2017  17:30     1.27
02.11.2017  18:00     1.27
02.11.2017  18:30     1.27
02.11.2017  19:00     1.27
02.11.2017  19:30     1.27
02.11.2017  20:00     1.27
02.11.2017  20:30     1.27
02.11.2017  21:00     1.27
02.11.2017  21:30     1.27
02.11.2017  22:00     1.27
02.11.2017  22:30     1.27
02.11.2017  23:00     1.27
02.11.2017  23:30     1.27
02.11.2017  00:00     1.27
         
Max 02.11.2017 23:59  1.27
Min 02.11.2017 23:59  1.27
         
03.11.2017  00:30     1.27
03.11.2017  01:00     1.27
03.11.2017  01:30     1.27
03.11.2017  02:00     1.27
03.11.2017  02:30     1.27
03.11.2017  03:00     1.27
03.11.2017  03:30     1.27
03.11.2017  04:00     1.27
03.11.2017  04:30     1.27
03.11.2017  05:00     1.27
03.11.2017  05:30     1.27
03.11.2017  06:00     1.27
03.11.2017  06:30     1.27
03.11.2017  07:00     1.27
03.11.2017  07:30     1.27
03.11.2017  08:00     1.27
03.11.2017  08:30     1.27
03.11.2017  09:00     1.27
03.11.2017  09:30     1.27
03.11.2017  10:00     1.27
03.11.2017  10:30     1.27
03.11.2017  11:00     1.27
03.11.2017  11:30     1.27
03.11.2017  12:00     1.27
03.11.2017  12:30     1.27
03.11.2017  13:00     1.27
03.11.2017  13:30     1.27
03.11.2017  14:00     1.27
03.11.2017  14:30     1.27
03.11.2017  15:00     1.27
03.11.2017  15:30     1.27
03.11.2017  16:00     1.27
03.11.2017  16:30     1.27
03.11.2017  17:00     1.27
03.11.2017  17:30     1.27
03.11.2017  18:00     1.27
03.11.2017  18:30     1.28
03.11.2017  19:00     1.28
03.11.2017  19:30     1.27
03.11.2017  20:00     1.27
03.11.2017  20:30     1.27
03.11.2017  21:00     1.27
03.11.2017  21:30     1.27
03.11.2017  22:00     1.27
03.11.2017  22:30     1.27
03.11.2017  23:00     1.27
03.11.2017  23:30     1.27
03.11.2017  00:00     1.27
         
Max 03.11.2017 19:25  1.28
Min 03.11.2017 23:59  1.27
         
04.11.2017  00:30     1.27
04.11.2017  01:00     1.27
04.11.2017  01:30     1.27
04.11.2017  02:00     1.27
04.11.2017  02:30     1.27
04.11.2017  03:00     1.27
04.11.2017  03:30     1.27
04.11.2017  04:00     1.27
04.11.2017  04:30     1.27
04.11.2017  05:00     1.27
04.11.2017  05:30     1.27
04.11.2017  06:00     1.27
04.11.2017  06:30     1.27
04.11.2017  07:00     1.27
04.11.2017  07:30     1.27
04.11.2017  08:00     1.27
04.11.2017  08:30     1.27
04.11.2017  09:00     1.27
04.11.2017  09:30     1.27
04.11.2017  10:00     1.27
04.11.2017  10:30     1.27
04.11.2017  11:00     1.27
04.11.2017  11:30     1.27
04.11.2017  12:00     1.27
04.11.2017  12:30     1.27
04.11.2017  13:00     1.27
04.11.2017  13:30     1.27
04.11.2017  14:00     1.27
04.11.2017  14:30     1.27
04.11.2017  15:00     1.27
